# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
27/01/2021 09:00:00;1.722;4
27/01/2021 10:00:00;1.961;4
27/01/2021 11:00:00;2.739;4
27/01/2021 12:00:00;3.704;4
27/01/2021 13:00:00;4.555;4
27/01/2021 14:00:00;5.087;4
27/01/2021 15:00:00;5.241;4
27/01/2021 16:00:00;5.082;4
27/01/2021 17:00:00;4.634;4
27/01/2021 18:00:00;3.855;4
27/01/2021 19:00:00;2.91;4
27/01/2021 20:00:00;2.109;4
27/01/2021 21:00:00;1.715;4
27/01/2021 22:00:00;1.876;4
27/01/2021 23:00:00;2.563;4
28/01/2021 00:00:00;3.599;4
28/01/2021 01:00:00;4.567;4
28/01/2021 02:00:00;5.243;4
28/01/2021 03:00:00;5.486;4
28/01/2021 04:00:00;5.434;4
28/01/2021 05:00:00;5.054;4
28/01/2021 06:00:00;4.341;4
28/01/2021 07:00:00;3.383;4
28/01/2021 08:00:00;2.359;4
28/01/2021 09:00:00;1.648;4
28/01/2021 10:00:00;1.485;4
28/01/2021 11:00:00;2.013;4
28/01/2021 12:00:00;3.033;4
28/01/2021 13:00:00;4.108;4
28/01/2021 14:00:00;4.924;4
28/01/2021 15:00:00;5.431;4
28/01/2021 16:00:00;5.451;4
